sampleID_bact,sampleID_fung,sample_type,Sample_or_Control,extract_num,extract_kit,fungal_PCR_conc,raw_DNA_conc,bact_dilution,dil_DNA_conc,description,start_date,collect_date,short_description,wet_mass,vol_filter,sub_proj,plant_type,field_plot,gh_block,rain_trt,pot_num,UTM_lat,UTM_long,exp_len,seq_plate_no,seq_plate_row,seq_plate_col
RX032GLBRC32,RX032GLBRC32,Rain,Sample,32,Water_2,3.9281,0.506,1,0.506,G5r2 6-20-018,6/18/2018,6/20/2018,GLBRC32,NA,350,GLBRC,Rain,r2,r2,Rain,r2,633858.951,4694911.68,2,1,B,5
RX002GLBRC2,RX002GLBRC2,Rain,Sample,2,Water_2,2.1426,0.268,1,0.268,G5r4 6-20-018,6/18/2018,6/20/2018,GLBRC2,NA,350,GLBRC,Rain,r4,r4,Rain,r4,633816.759,4694856.496,2,1,B,1
Leaf04,Leaf04,Leaf,Sample,4,Plant_1,1.36655,NA,NA,NA,Seed Contr 1,Seed,7/10/2018,Seed_C1_43291,0.0129,NA,Marshall,Seed,Control,Control,No_rain,C1,NA,NA,NA,2,B,5
Leaf13,Leaf13,Leaf,Sample,13,Plant_1,1.5215,NA,NA,NA,Seed Contr 2,Seed,7/10/2018,Seed_C2_43291,0.0456,NA,Marshall,Seed,Control,Control,No_rain,C2,NA,NA,NA,2,C,6
Leaf31,Leaf31,Leaf,Sample,31,Plant_1,2.4512,NA,NA,NA,Seed Contr 5,Seed,7/10/2018,Seed_C5_43291,0.1085,NA,Marshall,Seed,Control,Control,No_rain,C5,NA,NA,NA,2,E,8
Leaf64,Leaf64,Leaf,Sample,64,Plant_2,0.63625,NA,NA,NA,Seed Contr 4,Seed,7/10/2018,Seed_C4_43291,0.2072,NA,Marshall,Seed,Control,Control,No_rain,C4,NA,NA,NA,2,F,12
Leaf71,Leaf71,Leaf,Sample,71,Plant_2,1.7815,NA,NA,NA,Seed Contr 3,Seed,7/10/2018,Seed_C3_43291,0.1788,NA,Marshall,Seed,Control,Control,No_rain,C3,NA,NA,NA,3,C,1
Leaf61,Leaf61,Leaf,Sample,61,Plant_2,2.036,NA,NA,NA,Adult Block 1,Adult,7/16/2018,Block1_43297,0.0548,NA,Marshall,Adult,B1,B1,Field_rain,NA,639046.075,4700603.84,NA,2,C,12
Leaf56,Leaf56,Leaf,Sample,56,Plant_2,2.7995,NA,NA,NA,Adult Block 2,Adult,7/16/2018,Block2_43297,0.0489,NA,Marshall,Adult,B2,B2,Field_rain,NA,638976.568,4700616.674,NA,2,F,11
Leaf63,Leaf63,Leaf,Sample,63,Plant_2,3.69025,NA,NA,NA,Adult Block 3,Adult,7/16/2018,Block3_43297,0.0558,NA,Marshall,Adult,B2,B2,Field_rain,NA,638976.568,4700616.674,NA,2,E,12
