OTU_ID	Kingdom	Phylum	Class	Order	Family	Genus	Species
Zotu99	Fungi	Basidiomycota	Cystobasidiomycetes	Erythrobasidiales	Erythrobasidiaceae	Erythrobasidium	Erythrobasidium hasegawianum
Zotu100	Fungi	Basidiomycota	Tremellomycetes	Tremellales	Bulleribasidiaceae	Hannaella	Hannaella coprosmae
Zotu101	Fungi						
Zotu102	Fungi	Ascomycota	Dothideomycetes	Pleosporales	Pleosporaceae	Bipolaris	
Zotu103	Fungi	Ascomycota	Dothideomycetes	Pleosporales	Didymellaceae	Didymella	
Zotu104	Fungi	Basidiomycota	Exobasidiomycetes	Microstromatales	Incertae_sedis	Pseudomicrostroma	Pseudomicrostroma phylloplanum
Zotu105	Fungi	Ascomycota	Dothideomycetes	Pleosporales	Pleosporaceae	Bipolaris	
Zotu106							
Zotu107	Fungi						
Zotu108	Fungi	Ascomycota	Dothideomycetes	Pleosporales	Phaeosphaeriaceae	Phaeosphaeria	
Zotu109	Fungi	Basidiomycota	Microbotryomycetes	Sporidiobolales	Sporidiobolaceae	Sporobolomyces	
Zotu110	Fungi	Ascomycota	Dothideomycetes	Pleosporales			
Zotu111	Fungi	Ascomycota	Sordariomycetes	Xylariales	Microdochiaceae	Idriella	Idriella sp 
Zotu112							
Zotu113	Fungi	Ascomycota	Dothideomycetes	Pleosporales	Leptosphaeriaceae		
Zotu114	Fungi	Ascomycota	Dothideomycetes	Pleosporales	Didymellaceae	Didymella	
Zotu115	Fungi	Ascomycota	Dothideomycetes	Dothideales	Aureobasidiaceae	Aureobasidium	
Zotu116	Fungi	Basidiomycota	Agaricomycetes	Amylocorticiales	Amylocorticiaceae	Plicaturopsis	Plicaturopsis crispa
Zotu117	Fungi	Ascomycota	Dothideomycetes	Pleosporales			
Zotu118	Viridiplantae	Anthophyta	Monocotyledonae	Poales	Poaceae	Phleum	Phleum pratense
Zotu119	Fungi	Basidiomycota	Tremellomycetes	Tremellales	Bulleribasidiaceae	Vishniacozyma	
Zotu120	Fungi	Basidiomycota	Agaricomycetes	Hymenochaetales	Rickenellaceae	Sidera	
Zotu121	Fungi	Ascomycota	Dothideomycetes	Pleosporales	Phaeosphaeriaceae	Phaeosphaeria	
Zotu122	Fungi	Ascomycota	Dothideomycetes	Pleosporales	Leptosphaeriaceae		
Zotu123	Fungi	Basidiomycota	Ustilaginomycetes	Ustilaginales	Ustilaginaceae	Sporisorium	Sporisorium graminicola
Zotu124	Fungi	Basidiomycota	Cystobasidiomycetes	Incertae_sedis	Symmetrosporaceae	Symmetrospora	Symmetrospora coprosmae
Zotu125	Fungi	Basidiomycota	Agaricomycetes	Russulales	Stereaceae	Stereum	Stereum complicatum
Zotu126	Fungi	Basidiomycota	Tremellomycetes	Tremellales	Tremellaceae	Bulleromyces	Bulleromyces albus
Zotu127	Fungi						
Zotu128	Fungi	Ascomycota	Dothideomycetes	Pleosporales	Didymellaceae	Didymella	
Zotu129	Fungi	Ascomycota	Dothideomycetes	Pleosporales	Phaeosphaeriaceae	Phaeosphaeria	
Zotu130	Fungi	Ascomycota	Dothideomycetes	Pleosporales	Leptosphaeriaceae		
Zotu131	Fungi	Basidiomycota	Tremellomycetes	Tremellales	Bulleraceae		
Zotu132	Fungi	Basidiomycota	Tremellomycetes	Tremellales	Bulleribasidiaceae	Vishniacozyma	
Zotu133	Fungi	Basidiomycota	Tremellomycetes	Tremellales	Bulleribasidiaceae	Dioszegia	Dioszegia hungarica
Zotu134	Fungi	Basidiomycota	Tremellomycetes	Tremellales	Bulleribasidiaceae	Vishniacozyma	Vishniacozyma victoriae
