"","sampleID_bact","sample_type","Sample_or_Control","extract_num","extract_kit","fungal_PCR_conc","raw_DNA_conc","bact_dilution","dil_DNA_conc","description","start_date","collect_date","short_description","wet_mass","vol_filter","sub_proj","plant_type","field_plot","gh_block","rain_trt","pot_num","UTM_lat","UTM_long","exp_len","seq_plate_no","seq_plate_row","seq_plate_col"
"Leaf31","Leaf31","Leaf","Sample"," 31","Plant_1"," 2.451200",NA,NA,NA,"Seed Contr 5","Seed","7/10/2018","Seed_C5_43291","0.1085",NA,"Marshall","Seed","Control","Control","No_rain","C5",NA,NA,NA,"2","E"," 8"
"Leaf39","Leaf39","Leaf","Sample"," 39","Plant_1"," 1.676450",NA,NA,NA,"Marshall Leaf Pot 33","7/10/2018","9/5/2018","Pot_33_43348","0.0649",NA,"Marshall","Seedling","B3","B3","Field_rain","33","638809.1","4700697","57","2","E"," 9"
"Leaf43","Leaf43","Leaf","Sample"," 43","Plant_1"," 1.521500",NA,NA,NA,"Marshall Leaf Pot 43","7/10/2018","9/5/2018","Pot_43_43348","0.0908",NA,"Marshall","Seedling","B4","B4","Field_rain","43","638812.0","4700754","57","2","A","10"
"Leaf46","Leaf46","Leaf","Sample"," 46","Plant_1"," 1.986350",NA,NA,NA,"Greenhouse Contr Pot 23","7/10/2018","7/16/2018","Pot_23_43297","0.0108",NA,"Marshall","Seedling","Greenhouse","B2","No_rain","23",NA,NA," 6","2","D","10"
"Leaf47","Leaf47","Leaf","Sample"," 47","Plant_1"," 3.380900",NA,NA,NA,"Marshall Leaf Pot 22","7/10/2018","9/5/2018","Pot_22_43348","0.2119",NA,"Marshall","Seedling","B2","B2","Field_rain","22","638976.6","4700617","57","2","E","10"
"Leaf49","Leaf49","Leaf","Sample"," 49","Plant_1"," 0.901700",NA,NA,NA,"Marshall Leaf Pot 32","7/10/2018","9/5/2018","Pot_32_43348","0.1060",NA,"Marshall","Seedling","B3","B3","Field_rain","32","638809.1","4700697","57","2","G","10"
"Leaf55","Leaf55d","Leaf","Sample"," 55","Plant_2"," 5.395250",NA,NA,NA,"Adult Block 1","Adult","9/5/2018","Block1_43348","0.0458",NA,"Marshall","Adult","B1","B1","Field_rain",NA,"639046.1","4700604",NA,"2","E","11"
"Leaf56","Leaf56","Leaf","Sample"," 56","Plant_2"," 2.799500",NA,NA,NA,"Adult Block 2","Adult","7/16/2018","Block2_43297","0.0489",NA,"Marshall","Adult","B2","B2","Field_rain",NA,"638976.6","4700617",NA,"2","F","11"
"Leaf59","Leaf59","Leaf","Sample"," 59","Plant_2"," 1.527000",NA,NA,NA,"Marshall Leaf Pot 37","7/10/2018","9/5/2018","Pot_37_43348","0.0390",NA,"Marshall","Seedling","B4","B4","Field_rain","37","638812.0","4700754","57","2","A","12"
"Leaf60","Leaf60d","Leaf","Sample"," 60","Plant_2"," 1.527000",NA,NA,NA,"Adult Block 2","Adult","9/5/2018","Block2_43348","0.0534",NA,"Marshall","Adult","B2","B2","Field_rain",NA,"638976.6","4700617",NA,"2","B","12"
"Leaf61","Leaf61","Leaf","Sample"," 61","Plant_2"," 2.036000",NA,NA,NA,"Adult Block 1","Adult","7/16/2018","Block1_43297","0.0548",NA,"Marshall","Adult","B1","B1","Field_rain",NA,"639046.1","4700604",NA,"2","C","12"
"Leaf65","Leaf65","Leaf","Sample"," 65","Plant_2"," 1.527000",NA,NA,NA,"Marshall Leaf Pot 3","7/10/2018","9/5/2018","Pot_3_43348","0.0430",NA,"Marshall","Seedling","B1","B1","Field_rain","3","639046.1","4700604","57","2","G","12"
"Leaf67","Leaf67d","Leaf","Sample"," 67","Plant_2"," 0.763500",NA,NA,NA,"Adult Block 4","Adult","9/5/2018","Block4_43348","0.0467",NA,"Marshall","Adult","B4","B4","Field_rain",NA,"638812.0","4700754",NA,"2","C"," 4"
"Leaf68","Leaf68","Leaf","Sample"," 68","Plant_2"," 1.272500",NA,NA,NA,"Marshall Leaf Pot 16","7/10/2018","9/5/2018","Pot_16_43348","0.0896",NA,"Marshall","Seedling","B2","B2","Field_rain","16","638976.6","4700617","57","2","H"," 4"
"Leaf70","Leaf70","Leaf","Sample"," 70","Plant_2"," 1.018000",NA,NA,NA,"Adult Block 4","Adult","7/16/2018","Block4_43297","0.0540",NA,"Marshall","Adult","B4","B4","Field_rain",NA,"638812.0","4700754",NA,"3","B"," 1"
"Leaf71","Leaf71","Leaf","Sample"," 71","Plant_2"," 1.781500",NA,NA,NA,"Seed Contr 3","Seed","7/10/2018","Seed_C3_43291","0.1788",NA,"Marshall","Seed","Control","Control","No_rain","C3",NA,NA,NA,"3","C"," 1"
"Leaf73","Leaf73d","Leaf","Sample"," 73","Plant_2"," 2.799500",NA,NA,NA,"Adult Block 3","Adult","9/5/2018","Block3_43348","0.0483",NA,"Marshall","Adult","B3","B3","Field_rain",NA,"638809.1","4700697",NA,"3","E"," 1"
"RX051Marsh51","RX051Marsh51","Rain","Sample"," 51","Water_1"," 6.784900","  1.8200","1.00"," 1.8200","Marshall B3","7/22/2018","7/31/2018","Marsh51",NA,"350","Marshall","Rain","B3","B3","Rain","B3","638809.1","4700697"," 9","1","E"," 7"
"RX056Marsh56","RX056Marsh56","Rain","Sample"," 56","Water_1","11.427200","  4.3000","1.00"," 4.3000","Marshall B1","7/16/2018","7/20/2018","Marsh56",NA,"350","Marshall","Rain","B1","B1","Rain","B1","639046.1","4700604"," 4","1","B"," 8"
"RX058Marsh58","RX058Marsh58","Rain","Sample"," 58","Water_1"," 8.927500","  3.3000","1.00"," 3.3000","Marshall B2","7/16/2018","7/20/2018","Marsh58",NA,"350","Marshall","Rain","B2","B2","Rain","B2","638976.6","4700617"," 4","1","D"," 8"
"RX064Marsh64","RX064Marsh64","Rain","Sample"," 64","Water_1"," 1.071300","  0.0226","1.00"," 0.0226","Marshall B4","7/16/2018","7/20/2018","Marsh64",NA,"350","Marshall","Rain","B4","B4","Rain","B4","638812.0","4700754"," 4","1","B"," 9"
"RX067Marsh67","RX067Marsh67","Rain","Sample"," 67","Water_1"," 9.998800"," 30.2000","0.25"," 7.5500","Marshall B4","8/25/2018","8/28/2018","Marsh67",NA,"350","Marshall","Rain","B4","B4","Rain","B4","638812.0","4700754"," 3","1","F"," 9"
"RX068Marsh68","RX068Marsh68","Rain","Sample"," 68","Water_1"," 7.499100"," 30.2000","0.25"," 7.5500","Marshall B2","8/29/2018","9/2/2018","Marsh68",NA,"350","Marshall","Rain","B2","B2","Rain","B2","638976.6","4700617"," 4","1","G"," 9"
"RX069Marsh69","RX069Marsh69","Rain","Sample"," 69","Water_1"," 7.856200","  0.4800","1.00"," 0.4800","Marshall B2","8/6/2018","8/6/2018","Marsh69",NA,"350","Marshall","Rain","B2","B2","Rain","B2","638976.6","4700617"," 0","1","H"," 9"
"RX070Marsh70","RX070Marsh70","Rain","Sample"," 70","Water_1"," 6.784900"," 56.8000","0.25","14.2000","Marshall B1","9/2/2018","9/4/2018","Marsh70",NA,"350","Marshall","Rain","B1","B1","Rain","B1","639046.1","4700604"," 2","1","A","10"
"RX071Marsh71","RX071Marsh71","Rain","Sample"," 71","Water_1"," 8.570400"," 23.6000","0.50","11.8000","Marshall B3","8/21/2018","8/22/2018","Marsh71",NA,"350","Marshall","Rain","B3","B3","Rain","B3","638809.1","4700697"," 1","1","B","10"
"RX072Marsh72","RX072Marsh72","Rain","Sample"," 72","Water_1"," 4.999400"," 28.2000","0.50","14.1000","Marshall B3","8/22/2018","8/25/2018","Marsh72",NA,"350","Marshall","Rain","B3","B3","Rain","B3","638809.1","4700697"," 3","1","C","10"
"RX073Marsh73","RX073Marsh73","Rain","Sample"," 73","Water_1"," 5.713600","  5.2400","1.00"," 5.2400","Marshall B1","8/6/2018","8/8/2018","Marsh73",NA,"350","Marshall","Rain","B1","B1","Rain","B1","639046.1","4700604"," 2","1","D","10"
"RX074Marsh74","RX074Marsh74","Rain","Sample"," 74","Water_1"," 8.213300"," 55.8000","0.25","13.9500","Marshall B4","8/28/2018","8/29/2018","Marsh74",NA,"250","Marshall","Rain","B4","B4","Rain","B4","638812.0","4700754"," 1","1","E","10"
"RX075Marsh75","RX075Marsh75","Rain","Sample"," 75","Water_1"," 7.320550"," 24.0000","0.50","12.0000","Marshall B3","8/18/2018","8/21/2018","Marsh75",NA,"350","Marshall","Rain","B3","B3","Rain","B3","638809.1","4700697"," 3","1","F","10"
"RX076Marsh76","RX076Marsh76","Rain","Sample"," 76","Water_1"," 3.928100","  0.2260","1.00"," 0.2260","Marshall B3","8/6/2018","8/8/2018","Marsh76",NA,"350","Marshall","Rain","B3","B3","Rain","B3","638809.1","4700697"," 2","1","G","10"
"RX077Marsh77","RX077Marsh77","Rain","Sample"," 77","Water_1"," 7.142000"," 53.8000","0.25","13.4500","Marshall B4","8/21/2018","8/22/2018","Marsh77",NA,"375","Marshall","Rain","B4","B4","Rain","B4","638812.0","4700754"," 1","1","H","10"
"RX078Marsh78","RX078Marsh78","Rain","Sample"," 78","Water_1"," 7.142000"," 18.2000","0.50"," 9.1000","Marshall B2","8/28/2018","8/29/2018","Marsh78",NA,"350","Marshall","Rain","B2","B2","Rain","B2","638976.6","4700617"," 1","1","A","11"
"RX079Marsh79","RX079Marsh79","Rain","Sample"," 79","Water_1"," 7.856200"," 15.2000","0.50"," 7.6000","Marshall B1","8/29/2018","9/2/2018","Marsh79",NA,"350","Marshall","Rain","B1","B1","Rain","B1","639046.1","4700604"," 4","1","B","11"
"RX080Marsh80","RX080Marsh80","Rain","Sample"," 80","Water_1","11.427200"," 28.0000","0.50","14.0000","Marshall B4","8/18/2018","8/21/2018","Marsh80",NA,"350","Marshall","Rain","B4","B4","Rain","B4","638812.0","4700754"," 3","1","C","11"
"RX081Marsh81","RX081Marsh81","Rain","Sample"," 81","Water_1"," 0.452900"," 49.0000","0.25","12.2500","Marshall B2","8/8/2018","8/18/2018","Marsh81",NA,"100","Marshall","Rain","B2","B2","Rain","B2","638976.6","4700617","10","1","D","11"
"RX083Marsh83","RX083Marsh83","Rain","Sample"," 83","Water_1"," 3.571000"," 20.4000","0.50","10.2000","Marshall B3","8/25/2018","8/28/2018","Marsh83",NA,"350","Marshall","Rain","B3","B3","Rain","B3","638809.1","4700697"," 3","1","F","11"
"RX084Marsh84","RX084Marsh84","Rain","Sample"," 84","Water_1"," 9.106050"," 27.6000","0.50","13.8000","Marshall B1","8/6/2018","8/6/2018","Marsh84",NA,"350","Marshall","Rain","B1","B1","Rain","B1","639046.1","4700604"," 0","1","H","11"
"RX085Marsh85","RX085Marsh85","Rain","Sample"," 85","Water_1","10.355900"," 37.0000","0.25"," 9.2500","Marshall B1","8/28/2018","8/29/2018","Marsh85",NA,"350","Marshall","Rain","B1","B1","Rain","B1","639046.1","4700604"," 1","1","A","12"
"RX087Marsh87","RX087Marsh87","Rain","Sample"," 87","Water_1","10.355900"," 10.1000","1.00","10.1000","Marshall B1","8/18/2018","8/21/2018","Marsh87",NA,"350","Marshall","Rain","B1","B1","Rain","B1","639046.1","4700604"," 3","1","C","12"
"RX088Marsh88","RX088Marsh88","Rain","Sample"," 88","Water_1"," 6.963450"," 59.4000","0.25","14.8500","Marshall B2","8/21/2018","8/22/2018","Marsh88",NA,"350","Marshall","Rain","B2","B2","Rain","B2","638976.6","4700617"," 1","1","D","12"
"RX089Marsh89","RX089Marsh89","Rain","Sample"," 89","Water_1","11.070100","  4.0600","1.00"," 4.0600","Marshall B2","8/25/2018","8/28/2018","Marsh89",NA,"350","Marshall","Rain","B2","B2","Rain","B2","638976.6","4700617"," 3","1","E","12"
"RX091Marsh91","RX091Marsh91","Rain","Sample"," 91","Water_1"," 3.571000","147.0000","0.10","14.7000","Marshall B3","8/8/2018","8/18/2018","Marsh91",NA,"100","Marshall","Rain","B3","B3","Rain","B3","638809.1","4700697","10","1","G","12"
"RX092Marsh92","RX092Marsh92","Rain","Sample"," 92","Water_1"," 5.356500","  0.6180","1.00"," 0.6180","Marshall B3","8/3/2018","8/6/2018","Marsh92",NA,"350","Marshall","Rain","B3","B3","Rain","B3","638809.1","4700697"," 3","1","H","12"
"RX093Marsh93","RX093Marsh93","Rain","Sample"," 93","Water_1"," 3.117625","  0.4640","1.00"," 0.4640","Marshall B4","8/6/2018","8/8/2018","Marsh93",NA,"350","Marshall","Rain","B4","B4","Rain","B4","638812.0","4700754"," 2","2","A"," 1"
"RX094Marsh94","RX094Marsh94","Rain","Sample"," 94","Water_1"," 2.776300","  0.0920","1.00"," 0.0920","Marshall B4","8/3/2018","8/6/2018","Marsh94",NA,"350","Marshall","Rain","B4","B4","Rain","B4","638812.0","4700754"," 3","2","B"," 1"
"RX095Marsh95","RX095Marsh95","Rain","Sample"," 95","Water_1"," 2.988100"," 41.2000","0.25","10.3000","Marshall B4","8/22/2018","8/25/2018","Marsh95",NA,"350","Marshall","Rain","B4","B4","Rain","B4","638812.0","4700754"," 3","2","C"," 1"
"RX096Marsh96","RX096Marsh96","Rain","Sample"," 96","Water_1"," 0.171300"," 32.8000","0.25"," 8.2000","Marshall B3","8/29/2018","9/2/2018","Marsh96",NA,"350","Marshall","Rain","B3","B3","Rain","B3","638809.1","4700697"," 4","2","D"," 1"
"RX097Marsh97","RX097Marsh97","Rain","Sample"," 97","Water_1"," 2.541700","  0.5420","1.00"," 0.5420","Marshall B2","8/6/2018","8/8/2018","Marsh97",NA,"350","Marshall","Rain","B2","B2","Rain","B2","638976.6","4700617"," 2","2","E"," 1"
"RX099Marsh99","RX099Marsh99","Rain","Sample"," 99","Water_1"," 2.518325"," 26.2000","0.50","13.1000","Marshall B2","8/22/2018","8/25/2018","Marsh99",NA,"350","Marshall","Rain","B2","B2","Rain","B2","638976.6","4700617"," 3","2","G"," 1"
"RX001Marsh1","RX001Marsh1","Rain","Sample","  1","Water_2"," 7.142000"," 10.0000","1.00","10.0000","Marshall B3","7/20/2018","7/21/2018","Marsh1",NA,"350","Marshall","Rain","B3","B3","Rain","B3","638809.1","4700697"," 1","1","A"," 1"
"RX005Marsh5","RX005Marsh5","Rain","Sample","  5","Water_2"," 8.213300"," 17.6000","0.50"," 8.8000","Marshall B4","7/22/2018","7/31/2018","Marsh5",NA,"350","Marshall","Rain","B4","B4","Rain","B4","638812.0","4700754"," 9","1","E"," 1"
"RX006Marsh6","RX006Marsh6","Rain","Sample","  6","Water_2"," 8.570400","  9.8000","1.00"," 9.8000","Marshall B2","7/20/2018","7/21/2018","Marsh6",NA,"350","Marshall","Rain","B2","B2","Rain","B2","638976.6","4700617"," 1","1","F"," 1"
"RX009Marsh9","RX009Marsh9","Rain","Sample","  9","Water_2"," 3.928100","  9.2200","1.00"," 9.2200","Marshall B3","7/31/2018","8/3/2018","Marsh9",NA,"350","Marshall","Rain","B3","B3","Rain","B3","638809.1","4700697"," 3","1","A"," 2"
"RX013Marsh13","RX013Marsh13","Rain","Sample"," 13","Water_2"," 7.856200","  3.5000","1.00"," 3.5000","Marshall B2","7/21/2018","7/22/2018","Marsh13",NA,"350","Marshall","Rain","B2","B2","Rain","B2","638976.6","4700617"," 1","1","F"," 2"
"RX016Marsh16","RX016Marsh16","Rain","Sample"," 16","Water_2"," 5.713600"," 45.6000","0.25","11.4000","Marshall B2","7/31/2018","8/3/2018","Marsh16",NA,"350","Marshall","Rain","B2","B2","Rain","B2","638976.6","4700617"," 3","1","A"," 3"
"RX017Marsh17","RX017Marsh17","Rain","Sample"," 17","Water_2"," 7.856200","  3.3200","1.00"," 3.3200","Marshall B3","7/16/2018","7/20/2018","Marsh17",NA,"300","Marshall","Rain","B3","B3","Rain","B3","638809.1","4700697"," 4","1","B"," 3"
"RX021Marsh21","RX021Marsh21","Rain","Sample"," 21","Water_2"," 7.499100","  2.5600","1.00"," 2.5600","Marshall B4","7/20/2018","7/21/2018","Marsh21",NA,"350","Marshall","Rain","B4","B4","Rain","B4","638812.0","4700754"," 1","1","F"," 3"
"RX022Marsh22","RX022Marsh22","Rain","Sample"," 22","Water_2"," 8.927500"," 51.8000","0.25","12.9500","Marshall B1","7/31/2018","8/3/2018","Marsh22",NA," 75","Marshall","Rain","B1","B1","Rain","B1","639046.1","4700604"," 3","1","G"," 3"
"RX024Marsh24","RX024Marsh24","Rain","Sample"," 24","Water_2"," 4.999400","  5.0800","1.00"," 5.0800","Marshall B3","7/21/2018","7/22/2018","Marsh24",NA,"350","Marshall","Rain","B3","B3","Rain","B3","638809.1","4700697"," 1","1","A"," 4"
"RX025Marsh25","RX025Marsh25","Rain","Sample"," 25","Water_2"," 2.499700"," 12.1000","1.00","12.1000","Marshall B2","7/22/2018","7/31/2018","Marsh25",NA,"350","Marshall","Rain","B2","B2","Rain","B2","638976.6","4700617"," 9","1","B"," 4"
"RX036Marsh36","RX036Marsh36","Rain","Sample"," 36","Water_2"," 4.999400","  0.9420","1.00"," 0.9420","Marshall B4","7/21/2018","7/22/2018","Marsh36",NA,"350","Marshall","Rain","B4","B4","Rain","B4","638812.0","4700754"," 1","1","F"," 5"
"RX046Marsh46","RX046Marsh46","Rain","Sample"," 46","Water_2"," 0.357100"," 22.4000","0.50","11.2000","Marshall B4","7/31/2018","8/3/2018","Marsh46",NA,"350","Marshall","Rain","B4","B4","Rain","B4","638812.0","4700754"," 3","1","H"," 6"
"RX103Marsh103","RX103Marsh103","Rain","Sample","103","Water_3"," 3.817500","  0.1000","1.00"," 0.1000","Marshall B3","8/6/2018","8/6/2018","Marsh103",NA,"350","Marshall","Rain","B3","B3","Rain","B3","638809.1","4700697"," 0","2","C"," 2"
"RX106Marsh106","RX106Marsh106","Rain","Sample","106","Water_3"," 2.591900","  8.5000","1.00"," 8.5000","Marshall B1","8/3/2018","8/6/2018","Marsh106",NA,"350","Marshall","Rain","B1","B1","Rain","B1","639046.1","4700604"," 3","2","F"," 2"
"RX107Marsh107","RX107Marsh107","Rain","Sample","107","Water_3"," 2.670100"," 18.8000","0.50"," 9.4000","Marshall B1","8/22/2018","8/25/2018","Marsh107",NA,"350","Marshall","Rain","B1","B1","Rain","B1","639046.1","4700604"," 3","2","G"," 2"
"RX108Marsh108","RX108Marsh108","Rain","Sample","108","Water_3"," 2.551625"," 13.4000","1.00","13.4000","Marshall B4","9/2/2018","9/4/2018","Marsh108",NA,"350","Marshall","Rain","B4","B4","Rain","B4","638812.0","4700754"," 2","2","H"," 2"
"RX109Marsh109","RX109Marsh109","Rain","Sample","109","Water_3"," 5.972300"," 13.2000","1.00","13.2000","Marshall B1","8/25/2018","8/28/2018","Marsh109",NA,"350","Marshall","Rain","B1","B1","Rain","B1","639046.1","4700604"," 3","2","A"," 3"
"RX111Marsh111","RX111Marsh111","Rain","Sample","111","Water_3"," 4.690825","  1.2300","1.00"," 1.2300","Marshall B1","7/21/2018","7/22/2018","Marsh111",NA,"350","Marshall","Rain","B1","B1","Rain","B1","639046.1","4700604"," 1","2","C"," 3"
"RX112Marsh112","RX112Marsh112","Rain","Sample","112","Water_3"," 2.602825","  5.0400","1.00"," 5.0400","Marshall B2","8/3/2018","8/6/2018","Marsh112",NA,"350","Marshall","Rain","B2","B2","Rain","B2","638976.6","4700617"," 3","2","D"," 3"
"RX113Marsh113","RX113Marsh113","Rain","Sample","113","Water_3"," 6.195700"," 11.9000","1.00","11.9000","Marshall B2","8/18/2018","8/21/2018","Marsh113",NA,"350","Marshall","Rain","B2","B2","Rain","B2","638976.6","4700617"," 3","2","E"," 3"
"RX118Marsh118","RX118Marsh118","Rain","Sample","118","Water_3"," 5.444425"," 41.6000","0.25","10.4000","Marshall B4","8/29/2018","9/2/2018","Marsh118",NA,"350","Marshall","Rain","B4","B4","Rain","B4","638812.0","4700754"," 4","2","B"," 4"
"RX120Marsh120","RX120Marsh120","Rain","Sample","120","Water_3"," 2.828500"," 86.4000","0.10"," 8.6400","Marshall B4","8/8/2018","8/18/2018","Marsh120",NA,"100","Marshall","Rain","B4","B4","Rain","B4","638812.0","4700754","10","2","E"," 4"
