"","s1_s2","sample2","sample1","jaccard","nestedness","turnover","s1_sample_type","s1_collect_date","s1_sub_proj","s1_plant_type","s1_gh_block","s1_rain_trt","s1_UTM_lat","s1_UTM_long","s2_sample_type","s2_collect_date","s2_sub_proj","s2_plant_type","s2_gh_block","s2_rain_trt","s2_UTM_lat","s2_UTM_long","s1_s2_plant_type","s1_s2_collect_date","s1_collect_date_plant_type","s2_collect_date_plant_type","shared","not.shared","similarity","s1_s2_rain_trt","s1_s2_gh_block"
"26","Leaf03.Leaf32","Leaf32","Leaf03",0.839416058394161,0.114416058394161,0.725,"Leaf","9/5/2018","Marshall","Seedling","B4","Field_rain",638811.969,4700754.249,"Leaf","9/18/2018","Marshall","Petri","B3","Live_Rain",638809.092,4700697.086,"Seedling.Petri","9/5/2018.9/18/2018","9/5/2018.Seedling","9/18/2018.Petri",22,29,0.160583941605839,"Field_rain.Live_Rain","B4.B3"
"27","Leaf03.Leaf34","Leaf34","Leaf03",0.832,0.213818181818182,0.618181818181818,"Leaf","9/5/2018","Marshall","Seedling","B4","Field_rain",638811.969,4700754.249,"Leaf","9/18/2018","Marshall","Petri","Nano","Nano",NA,NA,"Seedling.Petri","9/5/2018.9/18/2018","9/5/2018.Seedling","9/18/2018.Petri",21,17,0.168,"Field_rain.Nano","B4.Nano"
"28","Leaf03.Leaf35","Leaf35","Leaf03",0.699186991869919,0.251425797840068,0.447761194029851,"Leaf","9/5/2018","Marshall","Seedling","B4","Field_rain",638811.969,4700754.249,"Leaf","9/18/2018","Marshall","Petri","B4","Live_Rain",638811.969,4700754.249,"Seedling.Petri","9/5/2018.9/18/2018","9/5/2018.Seedling","9/18/2018.Petri",37,15,0.300813008130081,"Field_rain.Live_Rain","B4.B4"
"29","Leaf03.Leaf36","Leaf36","Leaf03",0.6,0.141666666666667,0.458333333333333,"Leaf","9/5/2018","Marshall","Seedling","B4","Field_rain",638811.969,4700754.249,"Leaf","8/14/2018","Marshall","Petri","B4","Sterile_rain",638811.969,4700754.249,"Seedling.Petri","9/5/2018.8/14/2018","9/5/2018.Seedling","8/14/2018.Petri",52,22,0.4,"Field_rain.Sterile_rain","B4.B4"
"30","Leaf03.Leaf37","Leaf37","Leaf03",0.889830508474576,0.28376990241397,0.606060606060606,"Leaf","9/5/2018","Marshall","Seedling","B4","Field_rain",638811.969,4700754.249,"Leaf","8/14/2018","Marshall","Petri","B4","Live_Rain",638811.969,4700754.249,"Seedling.Petri","9/5/2018.8/14/2018","9/5/2018.Seedling","8/14/2018.Petri",13,10,0.110169491525424,"Field_rain.Live_Rain","B4.B4"
"31","Leaf03.Leaf38","Leaf38","Leaf03",0.825757575757576,0.149701237729407,0.676056338028169,"Leaf","9/5/2018","Marshall","Seedling","B4","Field_rain",638811.969,4700754.249,"Leaf","9/18/2018","Marshall","Petri","B4","Sterile_rain",638811.969,4700754.249,"Seedling.Petri","9/5/2018.9/18/2018","9/5/2018.Seedling","9/18/2018.Petri",23,24,0.174242424242424,"Field_rain.Sterile_rain","B4.B4"
"32","Leaf03.Leaf39","Leaf39","Leaf03",0.588957055214724,0.0386214847449253,0.550335570469799,"Leaf","9/5/2018","Marshall","Seedling","B4","Field_rain",638811.969,4700754.249,"Leaf","9/5/2018","Marshall","Seedling","B3","Field_rain",638809.092,4700697.086,"Seedling.Seedling","9/5/2018.9/5/2018","9/5/2018.Seedling","9/5/2018.Seedling",67,55,0.411042944785276,"Field_rain.Field_rain","B4.B3"
"33","Leaf03.Leaf40","Leaf40","Leaf03",0.839416058394161,0.114416058394161,0.725,"Leaf","9/5/2018","Marshall","Seedling","B4","Field_rain",638811.969,4700754.249,"Leaf","8/14/2018","Marshall","Petri","B2","Live_Rain",638976.568,4700616.674,"Seedling.Petri","9/5/2018.8/14/2018","9/5/2018.Seedling","8/14/2018.Petri",22,29,0.160583941605839,"Field_rain.Live_Rain","B4.B2"
"34","Leaf03.Leaf41","Leaf41","Leaf03",0.908396946564885,0.115293498289023,0.793103448275862,"Leaf","9/5/2018","Marshall","Seedling","B4","Field_rain",638811.969,4700754.249,"Leaf","8/14/2018","Marshall","Petri","B1","Live_Rain",639046.075,4700603.84,"Seedling.Petri","9/5/2018.8/14/2018","9/5/2018.Seedling","8/14/2018.Petri",12,23,0.0916030534351145,"Field_rain.Live_Rain","B4.B1"
"35","Leaf03.Leaf42","Leaf42","Leaf03",0.845528455284553,0.233283557325369,0.612244897959184,"Leaf","9/5/2018","Marshall","Seedling","B4","Field_rain",638811.969,4700754.249,"Leaf","9/18/2018","Marshall","Petri","B2","Live_Rain",638976.568,4700616.674,"Seedling.Petri","9/5/2018.9/18/2018","9/5/2018.Seedling","9/18/2018.Petri",19,15,0.154471544715447,"Field_rain.Live_Rain","B4.B2"
